,DWT_mean,DWT_std,DWT_energy,DWT_median,DWT_skewness,DWT_kurtosis,Label
0.001957,8.94111E-05,0.001189695,0.003552727,-2.47E-07,0.412619225,9.807056805,0
0.000933,0.000104966,0.001393408,0.0048737,1.28306E-06,2.838581232,20.45931493,1
-0.002057,6.47872E-07,0.001217529,0.003700014,-1.06E-06,-0.181100732,14.27727882,1
0.001366,4.35291E-05,0.001460189,0.005326581,-3.03E-06,2.747991195,31.56866951,1
0.000567,5.16707E-05,0.001239486,0.003841331,1.76279E-06,2.206235951,22.98321079,1
-0.000167,6.6041E-05,0.001399913,0.004902436,1.17935E-07,3.135996049,28.52759511,1
-0.000076,3.27502E-05,0.001461329,0.005332839,-1.06E-06,3.138372962,32.55569973,1
0.002682.1,0.000124653,0.001537231,0.005937033,-9.23E-07,4.613168508,39.82204316,1
0.001094,0.000119659,0.001403924,0.00495536,-5.90E-06,4.498722751,35.84856355,1
0.002924,0.000108736,0.001513731,0.005748804,-4.01E-06,4.903131032,39.34918696,1
-0.001039,0.000127541,0.001556873,0.00609054,3.02449E-06,4.019794261,30.92685854,1
0.000194,7.11899E-05,0.001312778,0.004314221,6.89538E-06,3.754573535,34.97213327,1
-0.000581,-7.01E-06,0.00125847,0.003953157,2.73751E-06,1.984219268,32.5656936,1
0.001436,5.62472E-05,0.001269601,0.004031166,1.96761E-06,2.037054953,31.82193076,1
0.000733,6.32239E-05,0.000559514,0.000791365,2.04537E-06,1.859297267,12.17551621,0
